instance,gap_mean_GLPK,gap_std_GLPK,low_mean_GLPK,low_std_GLPK,mem_mean_GLPK,mem_std_GLPK,sol_mean_GLPK,sol_std_GLPK,time_mean_GLPK,time_std_GLPK,low_mean_CBC,low_std_CBC,sol_mean_CBC,sol_std_CBC,time_mean_CBC,time_std_CBC
inst_100_01_12,2.333333333333333,1.3572848714334886,52281.33333333334,1822.5469968029786,709.8333333333335,25.347496041138964,53530.0,1323.2628864540359,405.9333333333333,1.461354014452196,,,,,,
inst_100_01_2,2.6666666666666665,2.6042699979499484,61228.0,2550.9360373530867,848.6,72.16402612567192,62904.0,1941.6144485109976,342.9666666666667,77.86742294153284,,,,,,
inst_100_01_25,2.333333333333333,1.3572848714334886,52281.33333333334,1822.5469968029786,709.8333333333335,25.347496041138964,53529.33333333334,1323.4793370338487,405.16666666666674,0.7586537784493997,,,,,,
inst_100_01_7,2.1666666666666665,0.7363574011458174,52272.66666666666,1790.8614934966047,716.4,11.230612924799187,53421.33333333334,1502.6031486131735,404.1333333333334,0.3681787005729221,,,,,,
inst_100_05_12,0.4666666666666666,0.3681787005729087,48542.0,3888.2986853721336,760.1,55.786019754056646,48782.33333333334,4069.769553945557,383.7,43.98234494279117,,,,,,
inst_100_05_2,0.0,0.0,54272.66666666666,6806.697943121091,803.4,34.5519898124551,54272.66666666666,6806.697943121091,132.4,40.06253445136324,,,,,,
inst_100_05_25,0.4666666666666666,0.3681787005729087,48542.0,3888.2986853721336,760.1,55.786019754056646,48782.33333333334,4069.769553945557,383.56666666666666,44.39101510691349,,,,,,
inst_100_05_7,0.5666666666666668,0.4027681991198191,48538.33333333334,3886.7364487732148,760.6,55.60737361177921,48818.66666666666,4085.176237188414,383.2666666666667,43.981688108676416,,,,,,
inst_100_09_12,0.16666666666666666,0.23570226039551584,47627.33333333334,2117.9877766932987,830.3000000000002,34.45702637585935,47699.33333333334,2044.074416997146,274.6666666666667,103.10190212708116,,,,,,
inst_100_09_2,0.7666666666666666,1.0842303978193728,50135.33333333334,2265.421569794216,808.6,62.07753216744365,50513.33333333334,2112.1815473317843,218.46666666666667,130.73090257811614,,,,,,
inst_100_09_25,0.16666666666666666,0.23570226039551584,47627.33333333334,2117.9877766932987,830.3000000000002,34.45702637585935,47699.33333333334,2044.074416997146,273.4666666666667,102.89095630272318,,,,,,
inst_100_09_7,0.16666666666666666,0.23570226039551584,47627.33333333334,2117.9877766932987,830.3000000000002,34.45702637585935,47699.33333333334,2044.074416997146,274.93333333333334,102.5777537069103,,,,,,



inst_10_01_2,0.0,0.0,819.0,153.5599774246749,0.8000000000000002,1.1102230246251563e-16,819.0,153.5599774246749,0.0,0.0,819.0,153.5599774246749,819.0,153.5599774246749,0.08333333333333333,0.004714045207910314
inst_10_01_3,0.0,0.0,805.0,148.7301807524844,0.8000000000000002,1.1102230246251563e-16,805.0,148.7301807524844,0.0,0.0,805.0,148.7301807524844,805.0,148.7301807524844,0.08,0.01414213562373095
inst_10_05_2,0.0,0.0,828.3333333333335,129.90338290009578,0.8333333333333334,0.04714045207910316,828.3333333333335,129.90338290009578,0.0,0.0,828.3333333333335,129.90338290009578,828.3333333333335,129.90338290009578,0.07,0.024494897427831785
inst_10_05_3,0.0,0.0,810.0,116.37869220780924,0.8666666666666667,0.04714045207910316,810.0,116.37869220780924,0.0,0.0,810.0,116.37869220780924,810.0,116.37869220780924,0.07666666666666667,0.01699673171197595
inst_10_09_2,0.0,0.0,753.6666666666665,164.4350597922745,0.9,0.0,753.6666666666665,164.4350597922745,0.0,0.0,753.6666666666665,164.4350597922745,753.6666666666665,164.4350597922745,0.08333333333333333,0.030912061651652344
inst_10_09_3,0.0,0.0,730.0,161.3526159275599,0.9,0.0,730.0,161.3526159275599,0.0,0.0,730.0,161.3526159275599,730.0,161.3526159275599,0.06000000000000001,0.014142135623730952


inst_50_01_13,0.0,0.0,15742.666666666664,1653.4782194580675,96.1,6.103004724450628,15742.666666666664,1653.4782194580675,17.3,12.250714264890846,15742.666666666664,1653.4782194580675,15742.666666666664,1653.4782194580675,31.49,4.574800542100167
inst_50_01_2,0.0,0.0,18262.33333333333,1889.4191935324695,91.09999999999998,2.2226110770892835,18262.33333333333,1889.4191935324695,11.733333333333334,6.8665048524623415,18262.33333333333,1889.4191935324695,18262.33333333333,1889.4191935324695,33.95666666666666,4.3551068362963905
inst_50_01_4,0.3,0.42426406871192857,15798.666666666664,1613.4975123074164,144.1,79.339439540916,15852.333333333336,1689.2507872492533,106.66666666666669,139.7478761516213,15841.333333333336,1673.7226638710354,15841.333333333336,1673.7226638710354,38.64666666666667,6.3360678307255816
inst_50_01_6,0.0,0.0,15744.666666666664,1656.2981481471131,95.7,7.034676017178517,15744.666666666664,1656.2981481471131,20.733333333333334,16.598460437308304,15744.666666666664,1656.2981481471131,15744.666666666664,1656.2981481471131,33.833333333333336,8.989009338569458
inst_50_05_13,0.0,0.0,14210.666666666664,1965.3984046215387,99.09999999999998,6.265780079128219,14210.666666666664,1965.3984046215387,14.033333333333333,8.843955877069694,14210.666666666664,1965.3984046215387,14210.666666666664,1965.3984046215387,27.176666666666666,2.1684761674708093
inst_50_05_2,0.0,0.0,15401.666666666664,2124.0251620187764,90.09999999999998,1.1860297916438156,15401.666666666664,2124.0251620187764,4.966666666666666,0.7717224601860151,15401.666666666664,2124.0251620187764,15401.666666666664,2124.0251620187764,28.616666666666664,2.006262417753194
inst_50_05_4,0.0,0.0,14239.666666666664,1970.1516580089856,102.9,12.884874853874212,14239.666666666664,1970.1516580089856,26.53333333333333,27.745550193779827,14239.666666666664,1970.1516580089856,14239.666666666664,1970.1516580089856,29.78333333333333,1.0096974244242118
inst_50_05_6,0.0,0.0,14210.666666666664,1965.3984046215387,100.09999999999998,6.9469417731833625,14210.666666666664,1965.3984046215387,15.333333333333336,10.305122782167883,14210.666666666664,1965.3984046215387,14210.666666666664,1965.3984046215387,27.07666666666667,2.5794099239080936
inst_50_09_13,0.0,0.0,13814.666666666664,657.9160702973865,95.5,3.295451410656815,13814.666666666664,657.9160702973865,8.033333333333333,4.521307578811934,13814.666666666664,657.9160702973865,13814.666666666664,657.9160702973865,27.656666666666666,1.7302279875464068
inst_50_09_2,0.0,0.0,14584.333333333336,929.539790553488,93.03333333333336,2.2425184255405535,14584.333333333336,929.539790553488,4.133333333333334,0.4496912521077348,14584.333333333336,929.539790553488,14584.333333333336,929.539790553488,29.176666666666666,1.8779658025522072
inst_50_09_4,0.0,0.0,13825.333333333336,666.1092669791913,103.8,14.94456422917711,13825.333333333336,666.1092669791913,16.4,15.94260539142416,13825.333333333336,666.1092669791913,13825.333333333336,666.1092669791913,27.29666666666667,1.5952081020634556
inst_50_09_6,0.0,0.0,13814.666666666664,657.9160702973865,95.43333333333332,3.3209770985191827,13814.666666666664,657.9160702973865,7.633333333333333,4.2129430198958175,13814.666666666664,657.9160702973865,13814.666666666664,657.9160702973865,30.03,3.693679285843136
